Customer_ID,Customer_Name,Gender,City,Category,Order_Date,Sales,Cost,Quantity
1001,Sara Kennedy,Male,Chennai,Groceries,2024-11-12,1595.65,935.47,5
1002,Cassandra Mckay,Female,Mumbai,Electronics,2026-01-14,3855.7,2428.94,1
1003,Shane Garcia,Female,Chennai,Furniture,2026-03-13,574.29,499.16,5
1004,Pamela Bishop,Female,Mumbai,Groceries,2025-06-06,1100.29,976.66,2
1005,Jennifer Hernandez,Male,Hyderabad,Groceries,2025-10-03,1460.35,909.32,6
1006,,Female,Delhi,Clothing,2026-04-04,3093.41,1987.67,5
1007,Brittney Medina,Female,Bangalore,Clothing,2026-03-20,2694.92,2269.38,5
1008,Matthew Sanders,Female,Bangalore,Groceries,2024-08-03,4253.91,3219.3,5
1009,Dana Casey,Female,Bangalore,Electronics,2026-04-10,3790.29,2068.8,5
1010,Sandra Greer,Male,Chennai,Furniture,2024-07-01,992.07,625.2,5
1011,James Rollins,Male,Mumbai,Electronics,2025-02-15,,975.41,4
1012,Zachary Castro,Male,Chennai,Clothing,2025-09-27,2179.59,1883.26,9
1013,Victoria Golden,Male,Delhi,Clothing,2024-05-27,4471.32,3605.5,3
1014,Anthony Bowen,Male,Delhi,Groceries,2025-03-12,1648.45,1061.7,9
1015,Nicholas Rush,Female,Delhi,Groceries,2024-06-25,712.51,586.94,6
1016,Natalie Sanchez,Male,Hyderabad,Furniture,2026-04-11,4873.78,2438.1,6
1017,Anthony Bell,Male,Bangalore,Furniture,2025-02-16,536.57,474.76,8
1018,Sandra Reid,Female,Delhi,Clothing,2024-08-24,3080.86,2314.8,6
1019,Joseph Martinez,Female,Chennai,Furniture,2026-05-18,2082.1,1770.18,9
1020,Alexis Wilson,Male,Hyderabad,Groceries,2026-01-12,1542.56,834.17,2
1021,Daniel Jones,Male,Mumbai,Furniture,2025-05-21,761.31,407.23,6
1022,Charles Carter,Male,Delhi,Sports,2024-06-08,925.38,664.42,1
1023,Joseph Lee,Female,Hyderabad,Furniture,2025-05-31,2995.29,1734.23,1
1024,Joshua Foley,Female,Mumbai,Sports,2024-08-15,3802.99,2088.29,7
1025,Breanna Martinez,Male,Mumbai,Groceries,2025-07-31,2055.24,1207.82,6
1026,Tamara Bennett,Male,Hyderabad,Sports,2026-01-05,3384.19,2974.11,9
1027,Jennifer Donovan,Male,Bangalore,Electronics,2025-10-18,2468.02,2144.69,8
1028,Jason Young,Female,Bangalore,Groceries,2025-03-08,1040.03,714.54,8
1029,Paula Thompson,Male,Hyderabad,Clothing,2026-01-24,3380.64,2761.06,4
1030,Maria Mahoney,Female,Bangalore,Furniture,2025-08-30,598.12,317.0,5
1031,Robert Wallace,Female,Bangalore,Sports,2026-03-27,4816.26,3948.13,1
1032,Nancy Smith,Male,Chennai,Furniture,2025-04-17,3102.3,2721.52,9
1033,Cheryl Hudson,Female,Bangalore,Furniture,2025-06-13,4480.2,3330.19,2
1034,Anna Gray,Male,Delhi,Groceries,2025-07-27,389.19,333.84,5
1035,Stephanie Hubbard,Male,Hyderabad,Clothing,2024-10-11,1471.0,947.65,3
1036,Sharon Strickland,Male,Bangalore,Clothing,2025-04-28,2377.27,2122.23,1
1037,Mary Rogers,Female,Delhi,Sports,2025-06-30,3266.39,2740.0,3
1038,Andrea Marshall,Male,Bangalore,Clothing,2024-11-17,1938.07,1015.96,9
1039,Samuel Simon,Female,Delhi,Clothing,2024-10-08,3407.7,2074.41,2
1040,Jacob Mccarthy,Female,Delhi,Groceries,2025-12-10,4811.83,4281.76,1
1041,Tanya Larson,Male,Mumbai,Furniture,2025-05-21,1530.38,1143.51,9
1042,Kristin Petty,Male,Hyderabad,Sports,2024-06-04,225.29,186.36,3
1043,Richard Diaz,Female,Chennai,Electronics,2025-01-03,4459.01,2570.3,1
1044,Heather Ramirez,Male,Chennai,Electronics,2024-07-26,2065.52,1359.38,1
1045,Jessica Zimmerman,Male,Chennai,Furniture,2024-06-23,4156.11,2779.71,3
1046,Karl Guerra,Male,Chennai,Clothing,2024-10-23,2528.63,2131.96,9
1047,Jacob Wolfe,Male,Chennai,Sports,2025-05-10,523.01,457.39,3
1048,Robert Thornton,Male,Mumbai,Sports,2024-12-27,773.77,627.31,6
