Customer_ID,Customer_Name,Gender,City,Category,Order_Date,Sales,Cost,Quantity,Profit,Month
1001,Timothy Castillo PhD,Male,Delhi,Groceries,2024-06-30,4273.06,2698.72,7,1574.3400000000006,June
1002,Matthew Gomez,Female,Delhi,Electronics,2024-06-28,1992.19,1526.65,2,465.53999999999996,June
1003,Maria Dyer,Female,Bangalore,Electronics,2025-03-15,1219.42,902.75,7,316.6700000000001,March
1004,Michael Roberts,Male,Chennai,Furniture,2025-12-21,946.03,680.98,8,265.04999999999995,December
1005,Laura Campbell,Male,Hyderabad,Furniture,2024-06-10,1340.83,814.17,6,526.66,June
1006,Unknown,Male,Hyderabad,Electronics,2025-06-15,1805.59,1193.39,10,612.1999999999998,June
1007,Mary Moore,Male,Delhi,Sports,2025-03-05,1180.02,973.04,9,206.98000000000002,March
1008,Juan Spence,Male,Delhi,Electronics,2025-07-13,3392.06,2319.34,3,1072.7199999999998,July
1009,Victoria Castillo,Male,Bangalore,Furniture,2026-02-28,1331.18,1041.37,6,289.8100000000002,February
1010,Alejandra Jenkins,Female,Bangalore,Furniture,2024-06-29,1837.43,1020.61,9,816.82,June
1011,Audrey Harris,Female,Delhi,Clothing,2025-01-12,2311.54,1894.95,4,416.5899999999999,January
1012,Julie Jackson,Female,Bangalore,Sports,2026-02-02,276.24,144.32,5,131.92000000000002,February
1013,Wanda Weiss,Female,Hyderabad,Furniture,2024-10-15,4169.75,3047.03,3,1122.7199999999998,October
1014,Alyssa Schmidt,Female,Delhi,Electronics,2026-01-13,2597.16,1535.72,10,1061.4399999999998,January
1015,Tracy Meadows,Male,Hyderabad,Clothing,2025-04-05,3404.51,2483.43,10,921.0800000000004,April
1016,Kara Ruiz,Male,Chennai,Sports,2026-01-17,361.16,320.52,6,40.64000000000004,January
1017,William Harris,Male,Mumbai,Furniture,2024-09-03,4766.24,3024.48,10,1741.7599999999998,September
1018,Dale Arnold,Female,Hyderabad,Furniture,2024-06-10,2599.28,2080.73,5,518.5500000000002,June
1019,Cody Walker,Male,Hyderabad,Electronics,2025-10-06,2738.93,2174.23,7,564.6999999999998,October
1020,Tyler Solis,Male,Hyderabad,Electronics,2026-01-10,3477.19,2077.73,5,1399.46,January
1021,Jessica Perkins,Male,Hyderabad,Electronics,2025-01-07,4068.55,3163.78,6,904.77,January
1022,Katherine Glover,Male,Delhi,Groceries,2025-07-14,4361.07,2898.55,10,1462.5199999999995,July
1023,Theresa Mckenzie,Female,Delhi,Sports,2026-01-13,4917.85,4015.29,9,902.5600000000004,January
1024,Jack Bonilla,Female,Mumbai,Furniture,2025-10-09,1585.45,1224.42,9,361.03,October
1025,James Clements,Female,Hyderabad,Electronics,2025-04-28,3025.23,1569.48,1,1455.75,April
1026,Kenneth Tapia,Female,Bangalore,Clothing,2026-01-02,3985.24,2159.59,3,1825.6499999999996,January
1027,Heather Roberts,Female,Hyderabad,Sports,2026-02-25,1990.87,1441.22,2,549.6499999999999,February
1028,Christopher Hudson,Female,Delhi,Clothing,2025-04-06,1738.21,1054.9,5,683.31,April
1029,Diane Graham,Female,Delhi,Electronics,2024-10-11,295.82,193.18,6,102.63999999999999,October
1030,Barbara Foster,Female,Bangalore,Furniture,2024-10-12,445.96,269.02,4,176.94,October
1031,Mary Davis,Female,Bangalore,Electronics,2026-03-29,1868.66,1566.78,1,301.8800000000001,March
